"Отметка времени","Ваш пол","Ваш возраст","Группа","Как часто Вы пользуетесь банковскими приложениями?","Сколько банковских приложений Вы используете регулярно?","Какой банковский сервис вы используете чаще всего? [Сбер]","Какой банковский сервис вы используете чаще всего? [Т-Банк]","Какой банковский сервис вы используете чаще всего? [АльфаБанк]","Какой банковский сервис вы используете чаще всего? [ВТБ]","Какой банковский сервис вы используете чаще всего? [БСПБ]","Оцените приложение [Сбер]","Оцените приложение [Т-Банк]","Оцените приложение [АльфаБанк]","Оцените приложение [ВТБ]","Оцените приложение [БСПБ]","Качество работы при отсутствии интернета  [Сбе]","Качество работы при отсутствии интернета  [Т-Банк]","Качество работы при отсутствии интернета  [АльфаБанк]","Качество работы при отсутствии интернета  [ВТБ]","Качество работы при отсутствии интернета  [БСПБ]","Выгода условий и кэшбэка [Сбер]","Выгода условий и кэшбэка [Т-Банк]","Выгода условий и кэшбэка [АльфаБанк]","Выгода условий и кэшбэка [ВТБ]","Выгода условий и кэшбэка [БСПБ]","Качество поддержки клиентов [Сбер]","Качество поддержки клиентов [Т-Банк]","Качество поддержки клиентов [АльфаБанк]","Качество поддержки клиентов [ВТБ]","Качество поддержки клиентов [БСПБ]","Скорость работы сервиса [Сбер]","Скорость работы сервиса [Т-Банк]","Скорость работы сервиса [АльфаБанк]","Скорость работы сервиса [ВТБ]","Скорость работы сервиса [БСПБ]","Понятность интерфейса [Сбер]","Понятность интерфейса [Т-Банк]","Понятность интерфейса [АльфаБанк]","Понятность интерфейса [ВТБ]","Понятность интерфейса [БСПБ]","Доверие к банку [Сбер]","Доверие к банку [Т-Банк]","Доверие к банку [АльфаБанк]","Доверие к банку [ВТБ]","Доверие к банку [БСПБ]"
"2026/05/10 11:34:41 PM GMT+3","Женский","18-25 лет","4417","4","2","5","1","1","1","4","5","1","1","1","4","2","1","1","1","2","5","1","1","1","3","4","1","1","1","4","5","1","1","1","5","5","1","1","1","5","5","1","1","1","4"
"2026/05/10 11:34:45 PM GMT+3","Женский","18-25 лет","4417","5","1","3","5","4","2","1","4","5","4","3","2","1","1","1","1","1","2","5","4","3","2","3","5","3","3","3","5","5","5","5","5","4","5","3","2","3","5","5","3","3","4"
"2026/05/10 11:36:20 PM GMT+3","Мужской","18-25 лет","4414","5","2","5","3","3","3","4","5","3","3","3","4","4","3","3","3","4","2","2","2","2","2","3","3","3","3","3","5","3","3","3","5","5","3","3","3","4","5","3","3","3","5"
"2026/05/10 11:36:57 PM GMT+3","Женский","18-25 лет","4416","5","2","5","1","1","1","3","4","4","4","4","3","2","2","1","1","1","3","4","4","4","2","4","5","5","4","3","4","5","5","4","2","5","5","5","5","5","4","4","4","4","3"
"2026/05/10 11:36:58 PM GMT+3","Женский","18-25 лет","4415","4","1","5","1","1","1","1","5","1","1","3","1","1","3","3","3","3","3","3","3","3","3","4","4","4","4","4","5","5","5","5","4","5","5","5","5","5","5","5","4","5","4"
"2026/05/10 11:37:09 PM GMT+3","Мужской","18-25 лет","4415","3","1","1","5","1","1","3","4","5","4","4","4","5","5","4","4","5","3","4","4","4","3","3","4","1","3","4","4","5","4","4","5","5","5","5","4","5","4","5","4","4","3"
"2026/05/10 11:37:10 PM GMT+3","Мужской","18-25 лет","4417","5","2","2","3","5","1","2","3","5","4","1","1","1","1","1","1","1","1","5","5","1","1","4","5","5","1","1","4","4","5","1","1","4","5","4","1","1","2","1","5","1","1"
"2026/05/10 11:38:42 PM GMT+3","Мужской","18-25 лет","4416","5","2","4","2","1","1","2","2","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/05/10 11:39:34 PM GMT+3","Женский","18-25 лет","4415","4","1","2","5","1","1","1","4","4","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2026/05/10 11:39:52 PM GMT+3","Мужской","18-25 лет","4416","5","5","1","3","1","1","2","2","3","2","2","2","1","1","1","1","1","2","3","1","1","1","2","3","1","1","2","2","3","1","1","2","2","3","1","1","3","1","4","1","1","2"
"2026/05/10 11:40:36 PM GMT+3","Женский","18-25 лет","4415","5","2","5","3","2","2","1","5","5","3","2","2","4","4","4","4","4","5","4","3","4","3","4","4","3","4","4","4","5","3","4","3","5","4","3","4","4","5","4","4","5","4"
"2026/05/10 11:40:59 PM GMT+3","Женский","18-25 лет","4415","4","1","5","3","1","1","1","5","4","1","1","1","3","3","1","1","1","3","3","1","1","1","3","3","1","1","1","4","4","1","1","1","5","4","1","1","1","4","4","1","1","1"
"2026/05/10 11:45:16 PM GMT+3","Мужской","18-25 лет","4414","5","5","3","2","3","1","1","2","1","3","1","1","1","1","1","1","1","1","1","3","2","1","2","1","3","1","1","2","1","3","1","1","2","1","2","1","1","3","1","3","1","1"
"2026/05/10 11:46:14 PM GMT+3","Мужской","18-25 лет","4416","5","3","1","5","5","1","1","1","5","4","1","1","1","5","4","1","1","1","5","4","1","1","1","5","5","1","1","1","5","5","1","1","1","5","4","1","1","3","5","5","3","1"
"2026/05/10 11:46:24 PM GMT+3","Мужской","18-25 лет","4416","5","3","1","5","1","1","4","1","5","1","3","4","1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","1","1","1","1"
"2026/05/10 11:47:37 PM GMT+3","Мужской","18-25 лет","4416","5","2","5","1","1","1","1","5","1","1","1","1","1","1","1","1","1","3","1","1","1","1","4","1","1","1","1","5","1","1","1","1","5","1","1","1","1","5","1","1","1","1"
"2026/05/10 11:47:56 PM GMT+3","Женский","18-25 лет","4414","5","2","4","5","1","1","1","4","5","1","1","1","1","1","1","3","1","3","4","1","1","1","4","5","1","1","1","3","5","1","1","1","5","5","1","1","1","5","3","1","1","1"
"2026/05/10 11:48:07 PM GMT+3","Мужской","18-25 лет","4414","5","3","4","4","4","4","1","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","3","3","3","3","3","4","4","4","4","4","3","3","3","3","3"
"2026/05/10 11:53:17 PM GMT+3","Мужской","18-25 лет","4414","5","2","3","5","1","1","1","3","5","2","2","3","5","4","1","1","1","2","4","3","3","3","5","5","4","1","1","5","5","4","1","1","5","5","4","1","1","5","5","4","5","5"
"2026/05/10 11:59:36 PM GMT+3","Мужской","18-25 лет","4416","5","2","3","1","5","1","1","5","4","5","1","1","1","1","5","1","1","3","3","5","1","1","3","3","3","1","1","4","4","4","4","2","5","4","4","4","4","5","1","5","2","1"
"2026/05/11 12:06:27 AM GMT+3","Женский","18-25 лет","4414","4","3","3","5","1","4","2","5","4","2","4","4","1","1","1","1","1","5","3","1","5","1","1","1","1","1","1","4","4","1","4","3","5","5","1","5","5","5","3","1","5","5"
"2026/05/11 12:06:51 AM GMT+3","Женский","18-25 лет","4415","5","2","1","4","4","1","1","1","4","3","1","1","1","2","3","1","1","1","3","4","1","1","1","3","3","1","1","1","3","3","1","1","1","4","2","1","1","1","4","3","1","1"
"2026/05/11 12:23:14 AM GMT+3","Мужской","18-25 лет","4415","5","3","1","5","3","2","1","1","5","5","3","3","3","3","3","3","3","1","4","5","4","1","3","3","3","3","3","1","5","4","4","3","1","5","5","5","3","5","4","4","4","4"
"2026/05/11 12:24:22 AM GMT+3","Мужской","18-25 лет","4414","5","1","1","3","1","1","1","1","3","1","1","1","1","3","1","1","1","1","3","1","1","1","1","3","1","1","1","1","3","1","1","1","1","3","1","1","1","1","3","1","1","1"
"2026/05/11 12:25:14 AM GMT+3","Мужской","18-25 лет","4416","5","2","1","5","4","1","2","1","5","5","1","3","1","2","2","1","1","1","4","5","1","1","1","4","5","1","2","1","5","5","1","4","1","5","5","1","3","1","4","5","1","4"
"2026/05/11 12:25:41 AM GMT+3","Женский","18-25 лет","4417","4","2","1","5","5","2","3","4","5","5","3","3","2","2","4","4","1","3","5","5","4","3","4","5","5","3","3","4","4","4","4","3","5","5","5","4","3","4","5","4","4","3"
"2026/05/11 12:30:31 AM GMT+3","Мужской","18-25 лет","4416","5","1","2","4","1","1","1","2","4","3","4","1","1","1","1","1","1","2","4","4","4","1","3","3","3","3","3","3","4","4","3","3","2","4","4","2","1","3","4","4","4","2"
"2026/05/11 12:35:21 AM GMT+3","Мужской","18-25 лет","4417","5","2","1","1","5","4","2","1","1","5","4","4","1","1","5","5","5","1","1","5","2","2","1","1","5","4","3","1","1","5","5","4","1","1","5","5","5","1","1","5","5","3"
"2026/05/11 12:47:02 AM GMT+3","Мужской","18-25 лет","4416","5","3","4","4","4","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2026/05/11 12:48:13 AM GMT+3","Женский","18-25 лет","4415","5","2","4","1","3","1","1","2","1","4","1","1","1","1","1","1","1","2","1","4","1","1","4","1","4","1","1","4","1","4","1","1","4","1","3","1","1","4","1","4","1","1"
"2026/05/11 1:59:59 AM GMT+3","Мужской","18-25 лет","4415","3","1","5","1","1","1","1","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","3","1","1","1","1","4","1","1","1","1","5","1","1","1","1"
"2026/05/11 2:07:20 AM GMT+3","Мужской","18-25 лет","4417","5","3","3","1","1","3","1","3","3","3","3","3","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","2","3","2"
"2026/05/11 2:42:59 AM GMT+3","Мужской","18-25 лет","4416","5","3","3","1","3","1","1","4","1","5","1","1","5","1","1","1","1","1","4","5","1","1","4","3","4","1","1","5","5","5","1","5","5","5","5","1","1","1","1","1","1","1"
"2026/05/11 5:26:56 AM GMT+3","Мужской","18-25 лет","4415","4","3","2","5","1","1","1","2","3","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1"
"2026/05/11 8:02:51 AM GMT+3","Мужской","18-25 лет","4414","5","1","5","1","4","1","1","5","5","5","5","5","3","3","3","3","3","3","5","5","5","2","4","4","4","4","4","5","5","5","5","5","5","3","3","2","2","5","4","5","5","4"
"2026/05/11 9:15:44 AM GMT+3","Женский","18-25 лет","4415","5","2","5","1","2","5","1","5","1","1","5","1","1","5","5","1","5","3","1","3","3","1","5","3","3","3","1","5","1","1","3","1","5","5","5","5","4","5","2","3","5","1"
"2026/05/11 10:44:08 AM GMT+3","Мужской","18-25 лет","4416","4","2","5","1","1","1","3","4","1","1","1","3","3","1","1","1","3","4","1","1","1","2","3","1","1","1","3","4","1","1","1","3","4","1","1","1","4","5","1","1","1","4"
"2026/05/11 11:50:48 AM GMT+3","Мужской","18-25 лет","4416","4","3","4","5","1","1","3","4","5","1","1","3","2","2","1","1","2","3","3","1","1","2","4","4","1","1","4","5","5","1","1","5","5","5","1","1","4","5","5","5","1","4"
"2026/05/11 12:35:17 PM GMT+3","Женский","18-25 лет","4415","3","2","4","5","1","1","1","3","4","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","1","1","1","4","4","1","1","1","5","5","1","1","1","4","4","1","1","1"
"2026/05/13 12:56:25 PM GMT+3","Мужской","18-25 лет","4417","4","1","3","1","1","1","5","4","1","1","1","3","4","1","1","1","3","4","1","1","1","3","4","1","1","1","4","4","1","1","1","4","4","1","1","1","4","3","1","1","1","4"
"2026/05/13 5:35:29 PM GMT+3","Мужской","18-25 лет","4416","4","2","2","5","1","2","1","2","4","1","1","1","3","3","3","3","3","2","4","3","3","3","2","4","1","3","3","2","4","3","3","3","3","4","3","3","3","1","3","1","1","1"
"2026/05/13 5:57:19 PM GMT+3","Мужской","18-25 лет","4417","5","1","5","1","1","1","1","5","1","1","1","1","5","1","1","1","1","1","1","1","1","1","5","1","1","1","1","5","1","1","1","1","5","1","1","1","1","5","1","1","1","1"
"2026/05/13 6:13:24 PM GMT+3","Мужской","18-25 лет","4416","5","3","2","3","1","1","3","2","2","1","1","3","1","1","1","1","1","2","2","2","2","2","2","2","1","2","2","2","2","1","2","2","3","3","1","2","3","2","2","1","2","3"
